contour_points,amount_contours,rect_area,hull_area,approximation_area,contour_perimeters,corners,harris_corners,ratio_wide_length,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,hull_rectangle_ratio,labels
1095,11,30608.033871252555,21254.5,18069.5,1177.4284940958023,100,964,1.2101598400783682,0.06497053354094647,0.038467955800377554,0.05539666866290914,1.6748831535631248,2.0844235999633507,0.5920831137416139,0.8526429697240584,0.6944091897376816,0
1852,15,65025.0,65025.0,50314.0,1950.5828220844269,77,967,1.0,0.03876896273496764,0.02999742902090622,0.02999742902090622,1.9123361000827714,1.9123361000827714,0.7737485582468281,0.7737485582468281,1.0,0
1568,1,65025.0,65025.0,53643.0,1665.7543950080872,26,305,1.0,0.031054911445181438,0.025617137947067853,0.025617137947067853,1.6330925441255757,1.6330925441255757,0.8248981161091887,0.8248981161091887,1.0,0
1881,12,65025.0,65025.0,50004.5,1987.4528793096542,79,905,1.0,0.03968278733134973,0.030564442588383763,0.030564442588383763,1.9484832150094649,1.9484832150094649,0.7702191464821223,0.7702191464821223,1.0,0
929,8,27520.03889444843,18395.5,15458.0,1042.9087229967117,91,900,2.3999645473799047,0.06721721652519815,0.037896338991261234,0.05669368720593144,1.4322532197756472,1.745448694602171,0.5637891741181338,0.8434399717322171,0.6684401890039078,0
842,11,28016.367999855196,20324.0,15372.0,953.0092282295227,63,605,0.37351722401939136,0.0617553932237897,0.03401615899086021,0.046890829966026504,1.2667251710141707,1.5323115983763254,0.5508208630069309,0.7592993505215508,0.7254330754116681,0
1035,10,28794.2324131981,19949.5,16916.0,1118.256921172142,100,836,1.2464516715847707,0.06591747007999894,0.03883614277766192,0.0560543833766331,1.6375685481813527,2.032497640861446,0.5891631267178411,0.8503721897791925,0.6928297206789219,0
906,10,27497.843019294553,18882.5,16340.0,998.7838325500488,88,948,0.5422893572102271,0.060927458826941304,0.0363222610533207,0.05289468198332047,1.4379436683908176,1.7859602555432046,0.5961558507879123,0.86815834767642,0.6866902246387333,0
956,14,29389.718088597874,19846.5,16772.5,1067.8376553058624,98,658,2.167843592074764,0.06361856748917857,0.03633371548807554,0.05380483487294296,1.4475306470314422,1.777507987977388,0.5711181015551136,0.8457410626558839,0.6752871851363457,0
926,8,29440.002417727374,20779.0,11362.0,1096.6559777259827,65,675,0.3565217204300162,0.09600420009857154,0.03725053966251132,0.05277712968506582,1.4066554678298209,1.6765074613494269,0.3880094790047168,0.5497377159632321,0.7058083659493136,0
830,9,25276.20266756101,18870.5,13962.5,925.269113779068,63,471,2.0558081609947125,0.06600107809252215,0.036606333868597296,0.04903257008447407,1.365360585302325,1.6622990730859981,0.5546323624787086,0.7429055933865027,0.7465717951461924,0
1014,3,65025.0,64843.5,64733.5,1016.4852812290192,58,555,1.0,0.01568601711720347,0.015632222702483954,0.015675978027543534,0.9965541972833522,1.0021934151040872,0.9965705497885429,0.9993599975325206,0.9972087658592849,0
