 contours_points,amount_contours,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,aspect_ratio,hull_rectangle_ratio,corners,harris_corners,type 
 1699,2,0.037054643,0.027459756,0.027459756,1.750559441,1.750559441,0.74106113,0.74106113,1,1,46,199,0 
 1653,2,0.035966535,0.026803296,0.026803296,1.708710135,1.708710135,0.745228758,0.745228758,1,1,41,186,0 
 603,5,0.055180114,0.032509484,0.047116616,1.081699632,1.33942804,0.589152169,0.853869494,2.246898283,0.689979175,44,241,0 
 486,15,0.055821798,0.036852935,0.048552911,1.098586467,1.35272298,0.660188976,0.869784077,0.643850765,0.759026283,42,188,0 
 1020,2,0.015727397,0.015724495,0.015724495,1.00243655,1.00243655,0.999815456,0.999815456,1,1,42,197,0 
 877,17,0.050179136,0.030818661,0.042087469,1.299374132,1.576284429,0.614172804,0.838744383,0.48338698,0.732252658,97,461,0 
 840,9,0.064893158,0.039224372,0.051674051,1.347201564,1.544533713,0.604445426,0.796294284,2.778325136,0.759072919,92,722,0 
 756,3,0.047012065,0.028564553,0.039799164,1.134399785,1.347786112,0.607600462,0.846573404,0.412069704,0.717717399,87,581,0 
 1517,38,0.064429923,0.030788782,0.048044256,1.777457274,2.036199747,0.477864637,0.745682342,0.82745096,0.640842099,100,1258,0 
 648,16,0.058186144,0.035017417,0.051189855,1.130755438,1.366667869,0.601817109,0.879760226,2.582699341,0.684069467,84,559,0 
 972,9,0.088911454,0.044096935,0.054881982,1.566592155,1.845221942,0.495964615,0.617265597,2.390742149,0.803486566,66,331,0 
 638,11,0.048692648,0.029702296,0.042661224,1.076725568,1.313035075,0.609995496,0.876132753,0.457435251,0.69623638,73,289,0 
 708,7,0.056328283,0.034176563,0.046688309,1.173693516,1.373542911,0.606738945,0.82886086,0.360983094,0.732015438,74,498,0 
 716,4,0.047779429,0.030076269,0.040662403,1.156197111,1.406495099,0.629481552,0.851044131,0.518675678,0.739657944,71,459,0 
 761,5,0.045247845,0.02864863,0.038647605,1.155232931,1.405135503,0.633149051,0.85413138,0.489990362,0.741278292,80,446,0 
 800,4,0.044224746,0.027502896,0.037635715,1.137420307,1.37842073,0.621889302,0.851010309,0.409697834,0.730765885,80,560,0 
 825,5,0.045939208,0.028550668,0.039064531,1.139322479,1.363848912,0.621488033,0.850352728,0.347935546,0.730859105,89,673,0 
 1748,4,0.037060627,0.028398044,0.028398044,1.810375316,1.810375316,0.766259131,0.766259131,1,1,90,857,0 
 692,2,0.060048327,0.035530737,0.051649338,1.12168345,1.321575847,0.591702368,0.860129516,3.23753119,0.687922409,73,803,0 
 846,5,0.053250825,0.032627946,0.046935542,1.367084183,1.698820118,0.612721881,0.881404969,0.827629705,0.695164995,100,887,0 
 1358,26,0.092560012,0.051223401,0.064170344,1.94134748,2.213792571,0.553407462,0.693283659,0.341824537,0.79824103,100,995,0 
 542,2,0.039069572,0.024807947,0.035011608,0.941749892,1.138426421,0.634968498,0.896134918,1.646142914,0.708563504,54,175,0 
 733,2,0.049514559,0.030468264,0.042846663,1.170760307,1.436174321,0.615339504,0.86533465,0.474467017,0.711100039,83,511,0 
 1703,6,0.036229518,0.027699633,0.027699633,1.765851577,1.765851577,0.764559785,0.764559785,1,1,82,690,0 
 787,4,0.041156928,0.026179637,0.035725988,1.110397675,1.33091995,0.636093076,0.868043106,0.417443397,0.732789733,84,612,0 
 912,2,0.034454283,0.019035653,0.025510927,1.066833321,1.177968443,0.552490196,0.740428327,0.784313725,0.746176471,75,588,0 
 789,2,0.058732524,0.034568693,0.051378333,1.274429716,1.553297056,0.588578372,0.874785042,2.244140545,0.672826287,91,840,0 
